,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Total_Membors,FamilySize,IsAlone,relatives,Age*Class,FarePerMember,Age_Band,AgeOneHot,FareBand,FareOnehot
234,0,2,0,24,0,0,10,0,1,4,1,1,0,48,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
235,0,3,1,27,0,0,7,0,2,3,1,1,0,82,2,,1,"(-0.512, 128.082]",0
236,0,2,0,44,1,0,26,0,1,2,2,0,1,88,13,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
237,1,2,1,8,0,2,26,0,2,3,3,0,2,16,8,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
238,0,2,0,19,0,0,10,0,1,3,1,1,0,38,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
239,0,2,0,33,0,0,12,0,1,3,1,1,0,66,4,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
240,0,3,1,21,1,0,14,1,2,2,2,0,1,66,7,,1,"(-0.512, 128.082]",1
241,1,3,1,17,1,0,15,2,2,3,2,0,1,57,5,,1,"(-0.512, 128.082]",2
242,0,2,0,29,0,0,10,0,1,3,1,1,0,58,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
243,0,3,0,22,0,0,7,0,1,3,1,1,0,66,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
244,0,3,0,30,0,0,7,1,1,2,1,1,0,90,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
245,0,1,0,44,2,0,90,2,5,3,3,0,2,44,30,"(32.252, 48.168]",2,"(-0.512, 128.082]",3
246,0,3,1,25,0,0,7,0,2,4,1,1,0,75,1,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
247,1,2,1,24,0,2,14,0,3,3,3,0,2,48,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
248,1,1,0,37,1,1,52,0,1,3,3,0,2,37,17,"(32.252, 48.168]",2,"(-0.512, 128.082]",3
249,0,2,0,54,1,0,26,0,5,3,2,0,1,108,8,"(48.168, 64.084]",3,"(-0.512, 128.082]",2
250,0,3,0,27,0,0,7,0,1,3,1,1,0,84,2,,1,"(-0.512, 128.082]",0
251,0,3,1,29,1,1,10,0,3,5,3,0,2,87,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
252,0,1,0,62,0,0,26,0,1,3,1,1,0,62,8,"(48.168, 64.084]",3,"(-0.512, 128.082]",2
253,0,3,0,30,1,0,16,0,1,3,2,0,1,90,5,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
254,0,3,1,41,0,2,20,0,3,4,3,0,2,123,5,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
255,1,3,1,29,0,2,15,1,3,5,3,0,2,87,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
256,1,1,1,39,0,0,79,1,3,3,1,1,0,40,26,,2,"(-0.512, 128.082]",3
257,1,1,1,30,0,0,86,0,2,2,1,1,0,30,43,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
258,1,1,1,35,0,0,512,1,2,2,1,1,0,35,256,"(32.252, 48.168]",2,"(384.247, 512.329]",3
259,1,2,1,50,0,1,26,0,3,3,2,0,1,100,8,"(48.168, 64.084]",3,"(-0.512, 128.082]",2
260,0,3,0,27,0,0,7,2,1,2,1,1,0,79,3,,1,"(-0.512, 128.082]",0
261,1,3,0,3,4,2,31,0,4,4,7,0,6,9,7,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
262,0,1,0,52,1,1,79,0,1,2,3,0,2,52,39,"(48.168, 64.084]",3,"(-0.512, 128.082]",3
263,0,1,0,40,0,0,0,0,1,2,1,1,0,40,0,"(32.252, 48.168]",2,"(-0.512, 128.082]",0
264,0,3,1,26,0,0,7,2,2,2,1,1,0,77,3,,1,"(-0.512, 128.082]",0
265,0,2,0,36,0,0,10,0,1,2,1,1,0,72,5,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
266,0,3,0,16,4,1,39,0,1,3,6,0,5,48,13,"(0.34, 16.336]",0,"(-0.512, 128.082]",3
267,1,3,0,25,1,0,7,0,1,3,2,0,1,75,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
268,1,1,1,58,0,1,153,0,3,5,2,0,1,58,30,"(48.168, 64.084]",3,"(128.082, 256.165]",3
269,1,1,1,35,0,0,135,0,2,2,1,1,0,35,67,"(32.252, 48.168]",2,"(128.082, 256.165]",3
270,0,1,0,44,0,0,31,0,1,2,1,1,0,53,15,,2,"(-0.512, 128.082]",2
271,1,3,0,25,0,0,0,0,1,3,1,1,0,75,0,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
272,1,2,1,41,0,1,19,0,3,4,2,0,1,82,4,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
273,0,1,0,37,0,1,29,1,1,3,2,0,1,37,9,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
274,1,3,1,22,0,0,7,2,2,3,1,1,0,69,2,,1,"(-0.512, 128.082]",0
275,1,1,1,63,1,0,77,0,2,3,2,0,1,63,25,"(48.168, 64.084]",3,"(-0.512, 128.082]",3
276,0,3,1,45,0,0,7,0,2,3,1,1,0,135,2,"(32.252, 48.168]",2,"(-0.512, 128.082]",0
277,0,2,0,37,0,0,0,0,1,3,1,1,0,70,0,,2,"(-0.512, 128.082]",0
278,0,3,0,7,4,1,29,2,4,2,6,0,5,21,14,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
279,1,3,1,35,1,1,20,0,3,4,3,0,2,105,5,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
280,0,3,0,65,0,0,7,2,1,2,1,1,0,195,3,"(64.084, 80.0]",4,"(-0.512, 128.082]",0
281,0,3,0,28,0,0,7,0,1,4,1,1,0,84,1,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
282,0,3,0,16,0,0,9,0,1,3,1,1,0,48,3,"(0.34, 16.336]",0,"(-0.512, 128.082]",1
283,1,3,0,19,0,0,8,0,1,3,1,1,0,57,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
284,0,1,0,45,0,0,26,0,1,3,1,1,0,56,8,,2,"(-0.512, 128.082]",2
285,0,3,0,33,0,0,8,1,1,2,1,1,0,99,4,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
286,1,3,0,30,0,0,9,0,1,3,1,1,0,90,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
287,0,3,0,22,0,0,7,0,1,2,1,1,0,66,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
288,1,2,0,42,0,0,13,0,1,2,1,1,0,84,6,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
289,1,3,1,22,0,0,7,2,2,2,1,1,0,66,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
290,1,1,1,26,0,0,78,0,2,3,1,1,0,26,26,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
291,1,1,1,19,1,0,91,1,3,5,2,0,1,19,18,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
292,0,2,0,36,0,0,12,1,1,3,1,1,0,72,4,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
293,0,3,1,24,0,0,8,0,2,2,1,1,0,72,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
294,0,3,0,24,0,0,7,0,1,2,1,1,0,72,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
295,0,1,0,46,0,0,27,1,1,3,1,1,0,55,9,,2,"(-0.512, 128.082]",2
296,0,3,0,23,0,0,7,1,1,2,1,1,0,70,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
297,0,1,1,2,1,2,151,0,2,3,4,0,3,2,50,"(0.34, 16.336]",0,"(128.082, 256.165]",3
298,1,1,0,38,0,0,30,0,1,2,1,1,0,42,15,,2,"(-0.512, 128.082]",2
299,1,1,1,50,0,1,247,1,3,5,2,0,1,50,49,"(48.168, 64.084]",3,"(128.082, 256.165]",3
300,1,3,1,24,0,0,7,2,2,5,1,1,0,75,1,,1,"(-0.512, 128.082]",0
301,1,3,0,14,2,0,23,2,1,2,3,0,2,46,11,,0,"(-0.512, 128.082]",2
302,0,3,0,19,0,0,0,0,1,4,1,1,0,57,0,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
303,1,2,1,31,0,0,12,2,2,3,1,1,0,55,4,,1,"(-0.512, 128.082]",1
304,0,3,0,29,0,0,8,0,1,4,1,1,0,87,2,,1,"(-0.512, 128.082]",1
305,1,1,0,0,1,2,151,0,4,3,4,0,3,0,50,"(0.34, 16.336]",0,"(128.082, 256.165]",3
306,1,1,1,37,0,0,110,1,2,2,1,1,0,39,55,,2,"(-0.512, 128.082]",3
307,1,1,1,17,1,0,108,1,3,13,2,0,1,17,8,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
308,0,2,0,30,1,0,24,1,1,2,2,0,1,60,12,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
309,1,1,1,30,0,0,56,1,2,3,1,1,0,30,18,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
310,1,1,1,24,0,0,83,1,2,3,1,1,0,24,27,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
311,1,1,1,18,2,2,262,1,2,3,5,0,4,18,87,"(16.336, 32.252]",1,"(256.165, 384.247]",3
312,0,2,1,26,1,1,26,0,3,4,3,0,2,52,6,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
313,0,3,0,28,0,0,7,0,1,2,1,1,0,84,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
314,0,2,0,43,1,1,26,0,1,2,3,0,2,86,13,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
315,1,3,1,26,0,0,7,0,2,3,1,1,0,78,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
316,1,2,1,24,1,0,26,0,3,4,2,0,1,48,6,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
317,0,2,0,54,0,0,14,0,5,2,1,1,0,108,7,"(48.168, 64.084]",3,"(-0.512, 128.082]",1
318,1,1,1,31,0,2,164,0,2,3,3,0,2,31,54,"(16.336, 32.252]",1,"(128.082, 256.165]",3
319,1,1,1,40,1,1,134,1,3,6,3,0,2,40,22,"(32.252, 48.168]",2,"(128.082, 256.165]",3
320,0,3,0,22,0,0,7,0,1,2,1,1,0,66,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
321,0,3,0,27,0,0,7,0,1,2,1,1,0,81,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
322,1,2,1,30,0,0,12,2,2,3,1,1,0,60,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
323,1,2,1,22,1,1,29,0,3,6,3,0,2,44,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
324,0,3,0,3,8,2,69,0,1,4,11,0,10,8,17,,0,"(-0.512, 128.082]",3
325,1,1,1,36,0,0,135,1,2,3,1,1,0,36,45,"(32.252, 48.168]",2,"(128.082, 256.165]",3
326,0,3,0,61,0,0,6,0,1,3,1,1,0,183,2,"(48.168, 64.084]",3,"(-0.512, 128.082]",0
327,1,2,1,36,0,0,13,0,3,4,1,1,0,72,3,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
328,1,3,1,31,1,1,20,0,3,6,3,0,2,93,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
329,1,1,1,16,0,1,57,1,2,3,2,0,1,16,19,"(0.34, 16.336]",0,"(-0.512, 128.082]",3
330,1,3,1,13,2,0,23,2,2,2,3,0,2,44,11,,0,"(-0.512, 128.082]",2
331,0,1,0,45,0,0,28,0,1,2,1,1,0,45,14,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
332,0,1,0,38,0,1,153,0,1,3,2,0,1,38,51,"(32.252, 48.168]",2,"(128.082, 256.165]",3
333,0,3,0,16,2,0,18,0,1,4,3,0,2,48,4,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
334,1,1,1,35,1,0,133,0,3,5,2,0,1,35,26,,2,"(128.082, 256.165]",3
335,0,3,0,26,0,0,7,0,1,2,1,1,0,81,3,,1,"(-0.512, 128.082]",0
336,0,1,0,29,1,0,66,0,1,3,2,0,1,29,22,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
337,1,1,1,41,0,0,134,1,2,3,1,1,0,41,44,"(32.252, 48.168]",2,"(128.082, 256.165]",3
338,1,3,0,45,0,0,8,0,1,3,1,1,0,135,2,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
339,0,1,0,45,0,0,35,0,1,3,1,1,0,45,11,"(32.252, 48.168]",2,"(-0.512, 128.082]",3
340,1,2,0,2,1,1,26,0,4,3,3,0,2,4,8,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
341,1,1,1,24,3,2,263,0,2,3,6,0,5,24,87,"(16.336, 32.252]",1,"(256.165, 384.247]",3
342,0,2,0,28,0,0,13,0,1,3,1,1,0,56,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
343,0,2,0,25,0,0,13,0,1,4,1,1,0,50,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
344,0,2,0,36,0,0,13,0,1,3,1,1,0,72,4,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
345,1,2,1,24,0,0,13,0,2,3,1,1,0,48,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
346,1,2,1,40,0,0,13,0,2,3,1,1,0,80,4,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
347,1,3,1,20,1,0,16,0,3,6,2,0,1,66,2,,1,"(-0.512, 128.082]",2
348,1,3,0,3,1,1,15,0,4,4,3,0,2,9,3,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
349,0,3,0,42,0,0,8,0,1,2,1,1,0,126,4,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
350,0,3,0,23,0,0,9,0,1,3,1,1,0,69,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
351,0,1,0,45,0,0,35,0,1,3,1,1,0,56,11,,2,"(-0.512, 128.082]",3
352,0,3,0,15,1,1,7,1,1,2,3,0,2,45,3,"(0.34, 16.336]",0,"(-0.512, 128.082]",0
353,0,3,0,25,1,0,17,0,1,2,2,0,1,75,8,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
354,0,3,0,26,0,0,7,1,1,2,1,1,0,80,3,,1,"(-0.512, 128.082]",0
355,0,3,0,28,0,0,9,0,1,4,1,1,0,84,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
356,1,1,1,22,0,1,55,0,2,3,2,0,1,22,18,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
357,0,2,1,38,0,0,13,0,2,3,1,1,0,76,4,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
358,1,3,1,20,0,0,7,2,2,2,1,1,0,66,3,,1,"(-0.512, 128.082]",0
359,1,3,1,23,0,0,7,2,2,4,1,1,0,72,1,,1,"(-0.512, 128.082]",0
360,0,3,0,40,1,4,27,0,1,2,6,0,5,120,13,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
361,0,2,0,29,1,0,27,1,1,3,2,0,1,58,9,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
362,0,3,1,45,0,1,14,1,3,3,2,0,1,135,4,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
363,0,3,0,35,0,0,7,0,1,2,1,1,0,105,3,"(32.252, 48.168]",2,"(-0.512, 128.082]",0
364,0,3,0,22,1,0,15,2,1,2,2,0,1,67,7,,1,"(-0.512, 128.082]",2
365,0,3,0,30,0,0,7,0,1,4,1,1,0,90,1,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
366,1,1,1,60,1,0,75,1,3,6,2,0,1,60,12,"(48.168, 64.084]",3,"(-0.512, 128.082]",3
367,1,3,1,21,0,0,7,1,3,3,1,1,0,68,2,,1,"(-0.512, 128.082]",0
368,1,3,1,20,0,0,7,2,2,2,1,1,0,66,3,,1,"(-0.512, 128.082]",0
369,1,1,1,24,0,0,69,1,3,3,1,1,0,24,23,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
370,1,1,0,25,1,0,55,1,1,3,2,0,1,25,18,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
371,0,3,0,18,1,0,6,0,1,3,2,0,1,54,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
372,0,3,0,19,0,0,8,0,1,3,1,1,0,57,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
373,0,1,0,22,0,0,135,1,1,2,1,1,0,22,67,"(16.336, 32.252]",1,"(128.082, 256.165]",3
374,0,3,1,3,3,1,21,0,2,3,5,0,4,9,7,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
375,1,1,1,36,1,0,82,1,3,5,2,0,1,34,16,,2,"(-0.512, 128.082]",3
376,1,3,1,22,0,0,7,0,2,3,1,1,0,66,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
377,0,1,0,27,0,2,211,1,1,3,3,0,2,27,70,"(16.336, 32.252]",1,"(128.082, 256.165]",3
378,0,3,0,20,0,0,4,1,1,2,1,1,0,60,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
379,0,3,0,19,0,0,7,0,1,3,1,1,0,57,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
380,1,1,1,42,0,0,227,1,2,2,1,1,0,42,113,"(32.252, 48.168]",2,"(128.082, 256.165]",3
381,1,3,1,1,0,2,15,1,2,3,3,0,2,3,5,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
382,0,3,0,32,0,0,7,0,1,2,1,1,0,96,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
383,1,1,1,35,1,0,52,0,3,6,2,0,1,35,8,"(32.252, 48.168]",2,"(-0.512, 128.082]",3
384,0,3,0,26,0,0,7,0,1,2,1,1,0,81,3,,1,"(-0.512, 128.082]",0
385,0,2,0,18,0,0,73,0,1,3,1,1,0,36,24,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
386,0,3,0,1,5,2,46,0,4,3,8,0,7,3,15,"(0.34, 16.336]",0,"(-0.512, 128.082]",3
387,1,2,1,36,0,0,13,0,2,2,1,1,0,72,6,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
388,0,3,0,27,0,0,7,2,1,2,1,1,0,79,3,,1,"(-0.512, 128.082]",0
389,1,2,1,17,0,0,12,1,2,2,1,1,0,34,6,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
390,1,1,0,36,1,2,120,0,1,3,4,0,3,36,40,"(32.252, 48.168]",2,"(-0.512, 128.082]",3
391,1,3,0,21,0,0,7,0,1,3,1,1,0,63,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
392,0,3,0,28,2,0,7,0,1,3,3,0,2,84,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
393,1,1,1,23,1,0,113,1,2,2,2,0,1,23,56,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
394,1,3,1,24,0,2,16,0,3,5,3,0,2,72,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
395,0,3,0,22,0,0,7,0,1,2,1,1,0,66,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
396,0,3,1,31,0,0,7,0,2,2,1,1,0,93,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
397,0,2,0,46,0,0,26,0,1,3,1,1,0,92,8,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
398,0,2,0,23,0,0,10,0,5,2,1,1,0,46,5,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
399,1,2,1,28,0,0,12,0,3,5,1,1,0,56,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
400,1,3,0,39,0,0,7,0,1,2,1,1,0,117,3,"(32.252, 48.168]",2,"(-0.512, 128.082]",0
401,0,3,0,26,0,0,8,0,1,2,1,1,0,78,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
402,0,3,1,21,1,0,9,0,2,3,2,0,1,63,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
403,0,3,0,28,1,0,15,0,1,3,2,0,1,84,5,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
404,0,3,1,20,0,0,8,0,2,2,1,1,0,60,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
405,0,2,0,34,1,0,21,0,1,2,2,0,1,68,10,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
406,0,3,0,51,0,0,7,0,1,3,1,1,0,153,2,"(48.168, 64.084]",3,"(-0.512, 128.082]",0
407,1,2,0,3,1,1,18,0,4,3,3,0,2,6,6,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
408,0,3,0,21,0,0,7,0,1,4,1,1,0,63,1,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
409,0,3,1,15,3,1,25,0,2,2,5,0,4,48,12,,0,"(-0.512, 128.082]",2
410,0,3,0,26,0,0,7,0,1,2,1,1,0,81,3,,1,"(-0.512, 128.082]",0
411,0,3,0,27,0,0,6,2,1,2,1,1,0,79,3,,1,"(-0.512, 128.082]",0
412,1,1,1,33,1,0,90,2,2,3,2,0,1,33,30,"(32.252, 48.168]",2,"(-0.512, 128.082]",3
413,0,2,0,37,0,0,0,0,1,3,1,1,0,70,0,,2,"(-0.512, 128.082]",0
414,1,3,0,44,0,0,7,0,1,3,1,1,0,132,2,"(32.252, 48.168]",2,"(-0.512, 128.082]",0
415,0,3,1,29,0,0,8,0,3,5,1,1,0,87,1,,1,"(-0.512, 128.082]",1
416,1,2,1,34,1,1,32,0,3,6,3,0,2,68,5,"(32.252, 48.168]",2,"(-0.512, 128.082]",3
417,1,2,1,18,0,2,13,0,2,3,3,0,2,36,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
418,0,2,0,30,0,0,13,0,1,3,1,1,0,60,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
419,0,3,1,10,0,2,24,0,2,3,3,0,2,30,8,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
420,0,3,0,26,0,0,7,1,1,2,1,1,0,80,3,,1,"(-0.512, 128.082]",0
421,0,3,0,21,0,0,7,2,1,2,1,1,0,63,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
422,0,3,0,29,0,0,7,0,1,2,1,1,0,87,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
423,0,3,1,28,1,1,14,0,3,7,3,0,2,84,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
424,0,3,0,18,1,1,20,0,1,3,3,0,2,54,6,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
425,0,3,0,26,0,0,7,0,1,2,1,1,0,81,3,,1,"(-0.512, 128.082]",0
426,1,2,1,28,1,0,26,0,3,6,2,0,1,56,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
427,1,2,1,19,0,0,26,0,2,8,1,1,0,38,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
428,0,3,0,27,0,0,7,2,1,2,1,1,0,79,3,,1,"(-0.512, 128.082]",0
429,1,3,0,32,0,0,8,0,1,4,1,1,0,96,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
430,1,1,0,28,0,0,26,0,1,3,1,1,0,28,8,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
431,1,3,1,19,1,0,16,0,3,5,2,0,1,63,3,,1,"(-0.512, 128.082]",2
432,1,2,1,42,1,0,26,0,3,6,2,0,1,84,4,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
433,0,3,0,17,0,0,7,0,1,3,1,1,0,51,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
434,0,1,0,50,1,0,55,0,1,3,2,0,1,50,18,"(48.168, 64.084]",3,"(-0.512, 128.082]",3
435,1,1,1,14,1,2,120,0,2,3,4,0,3,14,40,"(0.34, 16.336]",0,"(-0.512, 128.082]",3
436,0,3,1,21,2,2,34,0,2,4,5,0,4,63,8,"(16.336, 32.252]",1,"(-0.512, 128.082]",3
437,1,2,1,24,2,3,18,0,3,4,6,0,5,48,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
438,0,1,0,64,1,4,263,0,1,2,6,0,5,64,131,"(48.168, 64.084]",3,"(256.165, 384.247]",3
439,0,2,0,31,0,0,10,0,1,4,1,1,0,62,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
440,1,2,1,45,1,1,26,0,3,5,3,0,2,90,5,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
441,0,3,0,20,0,0,9,0,1,2,1,1,0,60,4,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
442,0,3,0,25,1,0,7,0,1,3,2,0,1,75,2,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
443,1,2,1,28,0,0,13,0,2,2,1,1,0,56,6,"(16.336, 32.252]",1,"(-0.512, 128.082]",1
444,1,3,0,20,0,0,8,0,1,2,1,1,0,69,4,,1,"(-0.512, 128.082]",1
445,1,1,0,4,0,2,81,0,4,2,3,0,2,4,40,"(0.34, 16.336]",0,"(-0.512, 128.082]",3
446,1,2,1,13,0,1,19,0,2,3,2,0,1,26,6,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
447,1,1,0,34,0,0,26,0,1,3,1,1,0,34,8,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
448,1,3,1,5,2,1,19,1,2,3,4,0,3,15,6,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
449,1,1,0,52,0,0,30,0,5,3,1,1,0,52,10,"(48.168, 64.084]",3,"(-0.512, 128.082]",2
450,0,2,0,36,1,2,27,0,1,3,4,0,3,72,9,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
451,0,3,0,24,1,0,19,0,1,4,2,0,1,74,4,,1,"(-0.512, 128.082]",2
452,0,1,0,30,0,0,27,1,1,3,1,1,0,30,9,"(16.336, 32.252]",1,"(-0.512, 128.082]",2
453,1,1,0,49,1,0,89,1,1,3,2,0,1,49,29,"(48.168, 64.084]",3,"(-0.512, 128.082]",3
454,0,3,0,26,0,0,8,0,1,2,1,1,0,81,4,,1,"(-0.512, 128.082]",1
455,1,3,0,29,0,0,7,1,1,2,1,1,0,87,3,"(16.336, 32.252]",1,"(-0.512, 128.082]",0
456,0,1,0,65,0,0,26,0,1,3,1,1,0,65,8,"(64.084, 80.0]",4,"(-0.512, 128.082]",2
457,1,1,1,35,1,0,51,0,3,4,2,0,1,32,12,,2,"(-0.512, 128.082]",3
458,1,2,1,50,0,0,10,0,2,2,1,1,0,100,5,"(48.168, 64.084]",3,"(-0.512, 128.082]",1
459,0,3,0,27,0,0,7,2,1,2,1,1,0,79,3,,1,"(-0.512, 128.082]",0
460,1,1,0,48,0,0,26,0,1,2,1,1,0,48,13,"(32.252, 48.168]",2,"(-0.512, 128.082]",2
461,0,3,0,34,0,0,8,0,1,2,1,1,0,102,4,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
462,0,1,0,47,0,0,38,0,1,3,1,1,0,47,12,"(32.252, 48.168]",2,"(-0.512, 128.082]",3
463,0,2,0,48,0,0,13,0,1,3,1,1,0,96,4,"(32.252, 48.168]",2,"(-0.512, 128.082]",1
464,0,3,0,26,0,0,8,0,1,2,1,1,0,81,4,,1,"(-0.512, 128.082]",1
465,0,3,0,38,0,0,7,0,1,3,1,1,0,114,2,"(32.252, 48.168]",2,"(-0.512, 128.082]",0
466,0,2,0,35,0,0,0,0,1,2,1,1,0,67,0,,2,"(-0.512, 128.082]",0
467,0,1,0,56,0,0,26,0,1,3,1,1,0,56,8,"(48.168, 64.084]",3,"(-0.512, 128.082]",2
468,0,3,0,27,0,0,7,2,1,2,1,1,0,79,3,,1,"(-0.512, 128.082]",0
469,1,3,1,0,2,1,19,1,2,3,4,0,3,2,6,"(0.34, 16.336]",0,"(-0.512, 128.082]",2
470,0,3,0,26,0,0,7,0,1,2,1,1,0,81,3,,1,"(-0.512, 128.082]",0
